Customer_ID,Customer_Name,Total_Orders,Units_Sold,Revenue,Profit,Profit_Margin_Percent,Revenue_Rank,Profit_Rank,Customer_Row_Number,Revenue_Quartile,Customer_Value_Segment
CUST03370,Rohan Deshmukh,18,70,682579.18,215680.31,31.6,1,1,1,1,High Value
CUST02369,Vivaan Sharma,26,65,656467.23,162061.3,24.69,2,2,2,1,High Value
CUST02987,Amit Sharma,25,70,630590.67,114788.84,18.2,3,121,3,1,High Value
CUST02176,Aarav Joshi,20,68,629769.19,147672.45,23.45,4,8,4,1,High Value
CUST01171,Aarav Gupta,22,65,612137.04,151644.59,24.77,5,6,5,1,High Value
CUST03244,Neha Mhaske,19,61,600454.29,155811.64,25.95,6,5,6,1,High Value
CUST00947,Meera Deshmukh,21,53,592453.93,141721.69,23.92,7,13,7,1,High Value
CUST05687,Amit Kumar,17,50,576083.55,134145.68,23.29,8,30,8,1,High Value
CUST00992,Sneha Sharma,23,57,572539.2,141653.78,24.74,9,14,9,1,High Value
CUST03036,Pooja Singh,21,58,569817.88,139394.75,24.46,10,19,10,1,High Value
CUST03758,Sneha Mehta,21,53,555275.89,146087.08,26.31,11,10,11,1,High Value
CUST05424,Aarav Joshi,16,58,544745.38,111299.86,20.43,12,161,12,1,High Value
CUST00349,Amit Singh,20,65,543035.24,123959.62,22.83,13,57,13,1,High Value
CUST02022,Neha Patil,23,61,541358.75,101352.1,18.72,14,271,14,1,High Value
CUST05362,Rahul Singh,19,52,539423.17,140032.67,25.96,15,18,15,1,High Value
CUST04253,Meera Joshi,20,60,538140.37,136884.12,25.44,16,27,16,1,High Value
CUST01139,Karan Joshi,22,62,534445.22,116100.3,21.72,17,109,17,1,High Value
CUST01817,Amit Patil,21,52,529895.41,118662.35,22.39,18,87,18,1,High Value
CUST00778,Karan Shah,21,52,527205.51,146329.42,27.76,19,9,19,1,High Value
CUST03037,Isha Sharma,17,58,521696.75,159437.07,30.56,20,3,20,1,High Value
CUST02672,Ananya Joshi,20,51,518367.26,140944.61,27.19,21,16,21,1,High Value
CUST04540,Karan Mehta,18,53,517450.86,125888.18,24.33,22,52,22,1,High Value
CUST05658,Amit Singh,18,50,513434.44,134917.03,26.28,23,29,23,1,High Value
CUST04433,Ananya Kumar,20,54,512302.35,114366.58,22.32,24,125,24,1,High Value
CUST01428,Rahul Singh,17,45,511005.72,138730.4,27.15,25,22,25,1,High Value
CUST05922,Karan Nair,20,49,509322.79,158308.11,31.08,26,4,26,1,High Value
CUST01161,Isha Mhaske,21,56,503427.57,113380.38,22.52,27,132,27,1,High Value
CUST05703,Ananya Deshmukh,16,48,498598.16,128463.23,25.76,28,44,28,1,High Value
CUST05073,Aarav Deshmukh,24,67,497373.12,112324.2,22.58,29,141,29,1,High Value
CUST03669,Aarav Deshmukh,17,48,497075.29,138784.1,27.92,30,21,30,1,High Value
CUST00348,Amit Mehta,18,54,496225.41,132808.56,26.76,31,33,31,1,High Value
CUST05110,Kavya Patil,20,57,495388.54,137065.72,27.67,32,26,32,1,High Value
CUST04416,Vivaan Verma,21,56,495128.65,130345.69,26.33,33,38,33,1,High Value
CUST04105,Sneha Mhaske,23,57,491863.33,114592.14,23.3,34,122,34,1,High Value
CUST01244,Vivaan Shah,19,54,491153.79,140740.51,28.66,35,17,35,1,High Value
CUST01564,Pooja Joshi,18,58,489934.67,92520.57,18.88,36,462,36,1,High Value
CUST02762,Pooja Singh,13,40,488160.62,122025.25,25.0,37,62,37,1,High Value
CUST04265,Amit Deshmukh,21,55,487744.58,124118.87,25.45,38,56,38,1,High Value
CUST03272,Rohan Joshi,17,45,484448.68,141329.7,29.17,39,15,39,1,High Value
CUST04378,Vivaan Mhaske,20,53,483643.45,110067.2,22.76,40,168,40,1,High Value
CUST03149,Karan Nair,16,46,482374.99,148057.64,30.69,41,7,41,1,High Value
CUST04678,Aarav Patil,15,45,482120.93,138270.63,28.68,42,23,42,1,High Value
CUST03969,Rohan Kumar,19,50,481934.91,137748.73,28.58,43,24,43,1,High Value
CUST01307,Arjun Sharma,19,54,481414.0,116318.95,24.16,44,104,44,1,High Value
CUST01441,Kavya Sharma,18,48,481020.45,118135.15,24.56,45,90,45,1,High Value
CUST05866,Neha Joshi,20,59,480274.75,105160.06,21.9,46,221,46,1,High Value
CUST05985,Rahul Shah,20,48,478666.8,127650.47,26.67,47,47,47,1,High Value
CUST02439,Priya Deshmukh,15,51,477507.72,112484.63,23.56,48,140,48,1,High Value
CUST04335,Amit Gupta,21,57,477477.47,109423.13,22.92,49,173,49,1,High Value
CUST04325,Vivaan Patil,16,44,476180.64,143513.91,30.14,50,11,50,1,High Value
CUST03262,Karan Joshi,21,56,474872.14,143480.72,30.21,51,12,51,1,High Value
CUST02501,Sneha Mehta,20,60,474795.5,115290.66,24.28,52,113,52,1,High Value
CUST04610,Sneha Singh,22,53,474387.08,116183.55,24.49,53,107,53,1,High Value
CUST04123,Amit Nair,15,46,473712.82,118695.05,25.06,54,86,54,1,High Value
CUST04165,Amit Gupta,15,48,473079.78,133329.37,28.18,55,32,55,1,High Value
CUST00382,Vivaan Gupta,13,40,472609.12,130441.01,27.6,56,37,56,1,High Value
CUST05566,Isha Mehta,18,52,472210.38,116519.06,24.68,57,102,57,1,High Value
CUST02034,Vivaan Kumar,21,60,471708.23,108868.3,23.08,58,175,58,1,High Value
CUST05036,Amit Patil,20,50,471552.49,115082.24,24.4,59,114,59,1,High Value
CUST05431,Arjun Kumar,17,50,471221.61,101682.8,21.58,60,266,60,1,High Value
CUST05604,Pooja Verma,18,50,471013.14,116158.44,24.66,61,108,61,1,High Value
CUST02782,Pooja Verma,17,55,470932.49,119620.16,25.4,62,80,62,1,High Value
CUST03990,Kavya Deshmukh,17,42,468466.48,128564.92,27.44,63,43,63,1,High Value
CUST03665,Amit Joshi,21,44,468411.8,116279.56,24.82,64,105,64,1,High Value
CUST00716,Sneha Nair,17,49,467191.18,105142.65,22.51,65,222,65,1,High Value
CUST01340,Sneha Deshmukh,21,54,466827.65,100289.41,21.48,66,291,66,1,High Value
CUST03012,Isha Deshmukh,19,49,466653.47,118641.73,25.42,67,88,67,1,High Value
CUST03400,Aditya Joshi,17,46,466585.75,116817.04,25.04,68,100,68,1,High Value
CUST04829,Karan Mehta,21,43,466528.72,116856.39,25.05,69,99,69,1,High Value
CUST05940,Aditya Sharma,17,41,465487.21,122354.02,26.29,70,61,70,1,High Value
CUST03557,Kavya Mhaske,17,51,465209.01,135138.2,29.05,71,28,71,1,High Value
CUST01273,Meera Joshi,24,56,463517.75,82907.74,17.89,72,796,72,1,High Value
CUST04770,Aarav Mehta,19,55,463325.7,120037.03,25.91,73,75,73,1,High Value
CUST04478,Amit Patil,16,57,462705.01,119015.78,25.72,74,84,74,1,High Value
CUST03899,Rohan Shah,19,50,461366.2,131587.73,28.52,75,34,75,1,High Value
CUST01719,Meera Singh,23,59,460987.84,103193.75,22.39,76,245,76,1,High Value
CUST02819,Amit Singh,13,42,459872.75,121016.65,26.32,77,69,77,1,High Value
CUST00139,Karan Nair,19,57,459827.19,121576.85,26.44,78,67,78,1,High Value
CUST05394,Karan Shah,12,44,459446.74,137280.3,29.88,79,25,79,1,High Value
CUST03248,Meera Kumar,19,50,459384.11,93781.56,20.41,80,426,80,1,High Value
CUST03711,Amit Verma,19,50,458044.16,138849.9,30.31,81,20,81,1,High Value
CUST05152,Vivaan Mhaske,24,51,457598.22,128627.27,28.11,82,41,82,1,High Value
CUST05012,Priya Mehta,18,52,457329.16,95811.23,20.95,83,382,83,1,High Value
CUST03497,Vivaan Singh,18,56,456254.79,119968.53,26.29,84,78,84,1,High Value
CUST00831,Aditya Patil,17,46,455533.36,125298.88,27.51,85,53,85,1,High Value
CUST04883,Pooja Sharma,17,51,454970.57,89393.3,19.65,86,549,86,1,High Value
CUST00440,Rahul Mehta,17,55,453880.07,118067.92,26.01,87,92,87,1,High Value
CUST01503,Ananya Verma,21,59,452443.78,91538.93,20.23,88,490,88,1,High Value
CUST01975,Neha Gupta,19,45,452009.18,104275.25,23.07,89,232,89,1,High Value
CUST02242,Kavya Gupta,21,55,450315.1,105070.49,23.33,90,224,90,1,High Value
CUST04091,Neha Patil,18,50,448038.48,88519.8,19.76,91,578,91,1,High Value
CUST04181,Amit Shah,10,35,447731.64,114992.13,25.68,92,117,92,1,High Value
CUST05808,Kavya Deshmukh,12,39,447589.47,131518.2,29.38,93,35,93,1,High Value
CUST04680,Ananya Deshmukh,16,42,447281.23,125947.11,28.16,94,51,94,1,High Value
