Customer_ID,Customer_Name,Total_Orders,Units_Sold,Revenue,Profit,Revenue_Rank,Revenue_Contribution_Percent,Cumulative_Revenue_Percent,Revenue_Concentration_Segment
CUST03370,Rohan Deshmukh,18,70,682579.18,215680.31,1,0.0501,0.0501,Top Revenue Contributors
CUST02369,Vivaan Sharma,26,65,656467.23,162061.3,2,0.0482,0.0983,Top Revenue Contributors
CUST02987,Amit Sharma,25,70,630590.67,114788.84,3,0.0463,0.1447,Top Revenue Contributors
CUST02176,Aarav Joshi,20,68,629769.19,147672.45,4,0.0463,0.1909,Top Revenue Contributors
CUST01171,Aarav Gupta,22,65,612137.04,151644.59,5,0.045,0.2359,Top Revenue Contributors
CUST03244,Neha Mhaske,19,61,600454.29,155811.64,6,0.0441,0.28,Top Revenue Contributors
CUST00947,Meera Deshmukh,21,53,592453.93,141721.69,7,0.0435,0.3235,Top Revenue Contributors
CUST05687,Amit Kumar,17,50,576083.55,134145.68,8,0.0423,0.3658,Top Revenue Contributors
CUST00992,Sneha Sharma,23,57,572539.2,141653.78,9,0.042,0.4078,Top Revenue Contributors
CUST03036,Pooja Singh,21,58,569817.88,139394.75,10,0.0418,0.4497,Top Revenue Contributors
CUST03758,Sneha Mehta,21,53,555275.89,146087.08,11,0.0408,0.4905,Top Revenue Contributors
CUST05424,Aarav Joshi,16,58,544745.38,111299.86,12,0.04,0.5305,Top Revenue Contributors
CUST00349,Amit Singh,20,65,543035.24,123959.62,13,0.0399,0.5703,Top Revenue Contributors
CUST02022,Neha Patil,23,61,541358.75,101352.1,14,0.0398,0.6101,Top Revenue Contributors
CUST05362,Rahul Singh,19,52,539423.17,140032.67,15,0.0396,0.6497,Top Revenue Contributors
CUST04253,Meera Joshi,20,60,538140.37,136884.12,16,0.0395,0.6892,Top Revenue Contributors
CUST01139,Karan Joshi,22,62,534445.22,116100.3,17,0.0393,0.7285,Top Revenue Contributors
CUST01817,Amit Patil,21,52,529895.41,118662.35,18,0.0389,0.7674,Top Revenue Contributors
CUST00778,Karan Shah,21,52,527205.51,146329.42,19,0.0387,0.8061,Top Revenue Contributors
CUST03037,Isha Sharma,17,58,521696.75,159437.07,20,0.0383,0.8444,Top Revenue Contributors
CUST02672,Ananya Joshi,20,51,518367.26,140944.61,21,0.0381,0.8825,Top Revenue Contributors
CUST04540,Karan Mehta,18,53,517450.86,125888.18,22,0.038,0.9205,Top Revenue Contributors
CUST05658,Amit Singh,18,50,513434.44,134917.03,23,0.0377,0.9582,Top Revenue Contributors
CUST04433,Ananya Kumar,20,54,512302.35,114366.58,24,0.0376,0.9958,Top Revenue Contributors
CUST01428,Rahul Singh,17,45,511005.72,138730.4,25,0.0375,1.0334,Top Revenue Contributors
CUST05922,Karan Nair,20,49,509322.79,158308.11,26,0.0374,1.0708,Top Revenue Contributors
CUST01161,Isha Mhaske,21,56,503427.57,113380.38,27,0.037,1.1078,Top Revenue Contributors
CUST05703,Ananya Deshmukh,16,48,498598.16,128463.23,28,0.0366,1.1444,Top Revenue Contributors
CUST05073,Aarav Deshmukh,24,67,497373.12,112324.2,29,0.0365,1.1809,Top Revenue Contributors
CUST03669,Aarav Deshmukh,17,48,497075.29,138784.1,30,0.0365,1.2174,Top Revenue Contributors
CUST00348,Amit Mehta,18,54,496225.41,132808.56,31,0.0364,1.2538,Top Revenue Contributors
CUST05110,Kavya Patil,20,57,495388.54,137065.72,32,0.0364,1.2902,Top Revenue Contributors
CUST04416,Vivaan Verma,21,56,495128.65,130345.69,33,0.0364,1.3266,Top Revenue Contributors
CUST04105,Sneha Mhaske,23,57,491863.33,114592.14,34,0.0361,1.3627,Top Revenue Contributors
CUST01244,Vivaan Shah,19,54,491153.79,140740.51,35,0.0361,1.3988,Top Revenue Contributors
CUST01564,Pooja Joshi,18,58,489934.67,92520.57,36,0.036,1.4348,Top Revenue Contributors
CUST02762,Pooja Singh,13,40,488160.62,122025.25,37,0.0359,1.4706,Top Revenue Contributors
CUST04265,Amit Deshmukh,21,55,487744.58,124118.87,38,0.0358,1.5064,Top Revenue Contributors
CUST03272,Rohan Joshi,17,45,484448.68,141329.7,39,0.0356,1.542,Top Revenue Contributors
CUST04378,Vivaan Mhaske,20,53,483643.45,110067.2,40,0.0355,1.5775,Top Revenue Contributors
CUST03149,Karan Nair,16,46,482374.99,148057.64,41,0.0354,1.613,Top Revenue Contributors
CUST04678,Aarav Patil,15,45,482120.93,138270.63,42,0.0354,1.6484,Top Revenue Contributors
CUST03969,Rohan Kumar,19,50,481934.91,137748.73,43,0.0354,1.6838,Top Revenue Contributors
CUST01307,Arjun Sharma,19,54,481414.0,116318.95,44,0.0354,1.7191,Top Revenue Contributors
CUST01441,Kavya Sharma,18,48,481020.45,118135.15,45,0.0353,1.7544,Top Revenue Contributors
CUST05866,Neha Joshi,20,59,480274.75,105160.06,46,0.0353,1.7897,Top Revenue Contributors
CUST05985,Rahul Shah,20,48,478666.8,127650.47,47,0.0352,1.8249,Top Revenue Contributors
CUST02439,Priya Deshmukh,15,51,477507.72,112484.63,48,0.0351,1.8599,Top Revenue Contributors
CUST04335,Amit Gupta,21,57,477477.47,109423.13,49,0.0351,1.895,Top Revenue Contributors
CUST04325,Vivaan Patil,16,44,476180.64,143513.91,50,0.035,1.93,Top Revenue Contributors
CUST03262,Karan Joshi,21,56,474872.14,143480.72,51,0.0349,1.9649,Top Revenue Contributors
CUST02501,Sneha Mehta,20,60,474795.5,115290.66,52,0.0349,1.9997,Top Revenue Contributors
CUST04610,Sneha Singh,22,53,474387.08,116183.55,53,0.0348,2.0346,Top Revenue Contributors
CUST04123,Amit Nair,15,46,473712.82,118695.05,54,0.0348,2.0694,Top Revenue Contributors
CUST04165,Amit Gupta,15,48,473079.78,133329.37,55,0.0347,2.1041,Top Revenue Contributors
CUST00382,Vivaan Gupta,13,40,472609.12,130441.01,56,0.0347,2.1388,Top Revenue Contributors
CUST05566,Isha Mehta,18,52,472210.38,116519.06,57,0.0347,2.1735,Top Revenue Contributors
CUST02034,Vivaan Kumar,21,60,471708.23,108868.3,58,0.0346,2.2081,Top Revenue Contributors
CUST05036,Amit Patil,20,50,471552.49,115082.24,59,0.0346,2.2428,Top Revenue Contributors
CUST05431,Arjun Kumar,17,50,471221.61,101682.8,60,0.0346,2.2774,Top Revenue Contributors
CUST05604,Pooja Verma,18,50,471013.14,116158.44,61,0.0346,2.312,Top Revenue Contributors
CUST02782,Pooja Verma,17,55,470932.49,119620.16,62,0.0346,2.3466,Top Revenue Contributors
CUST03990,Kavya Deshmukh,17,42,468466.48,128564.92,63,0.0344,2.381,Top Revenue Contributors
CUST03665,Amit Joshi,21,44,468411.8,116279.56,64,0.0344,2.4154,Top Revenue Contributors
CUST00716,Sneha Nair,17,49,467191.18,105142.65,65,0.0343,2.4497,Top Revenue Contributors
CUST01340,Sneha Deshmukh,21,54,466827.65,100289.41,66,0.0343,2.484,Top Revenue Contributors
CUST03012,Isha Deshmukh,19,49,466653.47,118641.73,67,0.0343,2.5182,Top Revenue Contributors
CUST03400,Aditya Joshi,17,46,466585.75,116817.04,68,0.0343,2.5525,Top Revenue Contributors
CUST04829,Karan Mehta,21,43,466528.72,116856.39,69,0.0343,2.5868,Top Revenue Contributors
CUST05940,Aditya Sharma,17,41,465487.21,122354.02,70,0.0342,2.6209,Top Revenue Contributors
CUST03557,Kavya Mhaske,17,51,465209.01,135138.2,71,0.0342,2.6551,Top Revenue Contributors
CUST01273,Meera Joshi,24,56,463517.75,82907.74,72,0.034,2.6891,Top Revenue Contributors
CUST04770,Aarav Mehta,19,55,463325.7,120037.03,73,0.034,2.7232,Top Revenue Contributors
CUST04478,Amit Patil,16,57,462705.01,119015.78,74,0.034,2.7572,Top Revenue Contributors
CUST03899,Rohan Shah,19,50,461366.2,131587.73,75,0.0339,2.791,Top Revenue Contributors
CUST01719,Meera Singh,23,59,460987.84,103193.75,76,0.0339,2.8249,Top Revenue Contributors
CUST02819,Amit Singh,13,42,459872.75,121016.65,77,0.0338,2.8587,Top Revenue Contributors
