Customer_ID,Customer_Name,Recency_Days,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,RFM_Total_Score,Customer_Segment
CUST02369,Vivaan Sharma,6.0,26,656467.23,5,5,5,15,Champions
CUST03244,Neha Mhaske,12.0,19,600454.29,5,5,5,15,Champions
CUST00349,Amit Singh,6.0,20,543035.24,5,5,5,15,Champions
CUST02022,Neha Patil,15.0,23,541358.75,5,5,5,15,Champions
CUST01139,Karan Joshi,2.0,22,534445.22,5,5,5,15,Champions
CUST02672,Ananya Joshi,9.0,20,518367.26,5,5,5,15,Champions
CUST04433,Ananya Kumar,5.0,20,512302.35,5,5,5,15,Champions
CUST03669,Aarav Deshmukh,12.0,17,497075.29,5,5,5,15,Champions
CUST00348,Amit Mehta,1.0,18,496225.41,5,5,5,15,Champions
CUST04416,Vivaan Verma,3.0,21,495128.65,5,5,5,15,Champions
CUST01244,Vivaan Shah,0.0,19,491153.79,5,5,5,15,Champions
CUST01564,Pooja Joshi,10.0,18,489934.67,5,5,5,15,Champions
CUST04378,Vivaan Mhaske,0.0,20,483643.45,5,5,5,15,Champions
CUST03149,Karan Nair,15.0,16,482374.99,5,5,5,15,Champions
CUST03969,Rohan Kumar,16.0,19,481934.91,5,5,5,15,Champions
CUST01307,Arjun Sharma,3.0,19,481414.0,5,5,5,15,Champions
CUST02439,Priya Deshmukh,8.0,15,477507.72,5,5,5,15,Champions
CUST04335,Amit Gupta,8.0,21,477477.47,5,5,5,15,Champions
CUST05036,Amit Patil,14.0,20,471552.49,5,5,5,15,Champions
CUST05431,Arjun Kumar,2.0,17,471221.61,5,5,5,15,Champions
CUST05604,Pooja Verma,3.0,18,471013.14,5,5,5,15,Champions
CUST02782,Pooja Verma,0.0,17,470932.49,5,5,5,15,Champions
CUST03990,Kavya Deshmukh,3.0,17,468466.48,5,5,5,15,Champions
CUST01340,Sneha Deshmukh,15.0,21,466827.65,5,5,5,15,Champions
CUST03012,Isha Deshmukh,8.0,19,466653.47,5,5,5,15,Champions
CUST04829,Karan Mehta,14.0,21,466528.72,5,5,5,15,Champions
CUST04770,Aarav Mehta,1.0,19,463325.7,5,5,5,15,Champions
CUST01719,Meera Singh,11.0,23,460987.84,5,5,5,15,Champions
CUST03248,Meera Kumar,3.0,19,459384.11,5,5,5,15,Champions
CUST03711,Amit Verma,10.0,19,458044.16,5,5,5,15,Champions
CUST05152,Vivaan Mhaske,5.0,24,457598.22,5,5,5,15,Champions
CUST05012,Priya Mehta,8.0,18,457329.16,5,5,5,15,Champions
CUST04883,Pooja Sharma,12.0,17,454970.57,5,5,5,15,Champions
CUST00440,Rahul Mehta,13.0,17,453880.07,5,5,5,15,Champions
CUST05337,Isha Nair,12.0,18,445757.93,5,5,5,15,Champions
CUST04348,Vivaan Sharma,6.0,18,443559.37,5,5,5,15,Champions
CUST00632,Sneha Joshi,14.0,22,443303.4,5,5,5,15,Champions
CUST04854,Rahul Joshi,12.0,19,438168.39,5,5,5,15,Champions
CUST00341,Neha Verma,8.0,18,438153.61,5,5,5,15,Champions
CUST05329,Aditya Nair,3.0,19,437917.21,5,5,5,15,Champions
CUST00303,Vivaan Kumar,15.0,18,436689.29,5,5,5,15,Champions
CUST05162,Rohan Patil,1.0,17,434505.69,5,5,5,15,Champions
CUST05860,Sneha Singh,14.0,16,432611.05,5,5,5,15,Champions
CUST00607,Priya Mhaske,12.0,20,429215.5,5,5,5,15,Champions
CUST05944,Vivaan Shah,10.0,20,426593.0,5,5,5,15,Champions
CUST00689,Aarav Joshi,11.0,24,426338.82,5,5,5,15,Champions
CUST05612,Arjun Mhaske,11.0,20,425956.65,5,5,5,15,Champions
CUST00027,Karan Gupta,15.0,19,424852.81,5,5,5,15,Champions
CUST00072,Rohan Nair,6.0,19,424330.66,5,5,5,15,Champions
CUST03008,Isha Gupta,8.0,17,421609.83,5,5,5,15,Champions
CUST03477,Amit Gupta,10.0,15,420806.0,5,5,5,15,Champions
CUST01639,Isha Shah,14.0,20,419932.6,5,5,5,15,Champions
CUST00682,Arjun Gupta,9.0,19,419527.75,5,5,5,15,Champions
CUST03577,Karan Gupta,3.0,16,417415.34,5,5,5,15,Champions
CUST01736,Pooja Gupta,1.0,15,417345.45,5,5,5,15,Champions
CUST00763,Aditya Deshmukh,3.0,15,416816.6,5,5,5,15,Champions
CUST04938,Ananya Singh,16.0,23,413998.66,5,5,5,15,Champions
CUST02199,Neha Kumar,1.0,19,411337.73,5,5,5,15,Champions
CUST02413,Ananya Joshi,4.0,16,409546.71,5,5,5,15,Champions
CUST02056,Rahul Kumar,1.0,19,409390.54,5,5,5,15,Champions
CUST01740,Meera Kumar,12.0,16,408264.9,5,5,5,15,Champions
CUST01353,Priya Nair,14.0,18,406157.98,5,5,5,15,Champions
CUST02724,Amit Nair,14.0,21,404468.81,5,5,5,15,Champions
CUST00354,Neha Nair,7.0,18,403952.78,5,5,5,15,Champions
CUST02749,Priya Joshi,1.0,17,402796.11,5,5,5,15,Champions
CUST00077,Pooja Kumar,2.0,21,402727.07,5,5,5,15,Champions
CUST05949,Isha Sharma,11.0,18,400684.6,5,5,5,15,Champions
CUST04995,Amit Sharma,10.0,20,398477.59,5,5,5,15,Champions
CUST01448,Priya Mhaske,10.0,17,398359.7,5,5,5,15,Champions
CUST02217,Aditya Verma,6.0,23,396475.16,5,5,5,15,Champions
CUST05666,Rohan Deshmukh,7.0,21,395120.82,5,5,5,15,Champions
CUST01125,Kavya Deshmukh,11.0,17,394868.4,5,5,5,15,Champions
CUST01357,Priya Gupta,7.0,18,391229.58,5,5,5,15,Champions
CUST05116,Ananya Kumar,5.0,16,390987.49,5,5,5,15,Champions
CUST01297,Meera Joshi,7.0,22,390736.29,5,5,5,15,Champions
CUST02361,Aditya Patil,4.0,18,390525.63,5,5,5,15,Champions
CUST04238,Isha Gupta,10.0,18,390520.81,5,5,5,15,Champions
CUST02588,Sneha Patil,2.0,15,390171.25,5,5,5,15,Champions
CUST03505,Rahul Sharma,8.0,16,389009.26,5,5,5,15,Champions
CUST01187,Aditya Sharma,1.0,15,388828.69,5,5,5,15,Champions
CUST00926,Karan Patil,10.0,16,387760.62,5,5,5,15,Champions
CUST02396,Rahul Joshi,8.0,19,386986.39,5,5,5,15,Champions
CUST05196,Neha Kumar,9.0,15,386215.45,5,5,5,15,Champions
CUST01933,Rahul Deshmukh,3.0,25,385891.75,5,5,5,15,Champions
CUST04520,Aditya Kumar,8.0,15,385470.23,5,5,5,15,Champions
CUST01814,Priya Gupta,4.0,18,385250.36,5,5,5,15,Champions
CUST03031,Sneha Deshmukh,4.0,17,384256.12,5,5,5,15,Champions
CUST02810,Rohan Deshmukh,2.0,15,383124.12,5,5,5,15,Champions
CUST01725,Vivaan Shah,1.0,18,383019.33,5,5,5,15,Champions
CUST03045,Kavya Joshi,6.0,17,382931.96,5,5,5,15,Champions
CUST01114,Priya Singh,14.0,15,381793.45,5,5,5,15,Champions
CUST03411,Sneha Mhaske,15.0,17,380999.93,5,5,5,15,Champions
CUST01393,Rahul Kumar,5.0,22,380131.21,5,5,5,15,Champions
CUST01508,Karan Shah,14.0,20,379441.23,5,5,5,15,Champions
CUST04580,Neha Gupta,13.0,15,378599.95,5,5,5,15,Champions
CUST00875,Karan Patil,8.0,18,378472.14,5,5,5,15,Champions
CUST03512,Rohan Gupta,7.0,20,377702.82,5,5,5,15,Champions
CUST03357,Karan Kumar,14.0,22,375359.22,5,5,5,15,Champions
CUST04506,Priya Verma,0.0,18,372849.58,5,5,5,15,Champions
CUST04563,Aditya Mehta,0.0,16,372394.21,5,5,5,15,Champions
CUST00279,Amit Verma,14.0,19,371911.12,5,5,5,15,Champions
CUST01235,Pooja Kumar,8.0,15,371752.31,5,5,5,15,Champions
CUST04011,Isha Shah,11.0,22,370731.76,5,5,5,15,Champions
CUST01594,Ananya Verma,10.0,17,370557.01,5,5,5,15,Champions
CUST01668,Vivaan Kumar,12.0,20,370120.45,5,5,5,15,Champions
CUST00140,Pooja Kumar,13.0,16,369722.99,5,5,5,15,Champions
CUST00074,Rohan Gupta,5.0,20,369434.19,5,5,5,15,Champions
CUST02721,Aarav Gupta,14.0,19,368645.43,5,5,5,15,Champions
CUST03033,Rahul Singh,5.0,22,368536.56,5,5,5,15,Champions
CUST00435,Aarav Gupta,0.0,16,368115.52,5,5,5,15,Champions
CUST04469,Ananya Patil,10.0,15,364544.32,5,5,5,15,Champions
CUST02813,Neha Nair,5.0,16,364155.78,5,5,5,15,Champions
CUST04880,Meera Joshi,1.0,17,363389.22,5,5,5,15,Champions
CUST01471,Karan Mhaske,11.0,17,361560.24,5,5,5,15,Champions
CUST01072,Isha Kumar,9.0,17,359963.8,5,5,5,15,Champions
CUST03917,Sneha Nair,4.0,18,359806.87,5,5,5,15,Champions
CUST04431,Arjun Sharma,10.0,16,359563.36,5,5,5,15,Champions
CUST00386,Rahul Patil,6.0,20,359380.43,5,5,5,15,Champions
CUST04198,Aditya Nair,12.0,18,358512.23,5,5,5,15,Champions
CUST03713,Rohan Shah,16.0,19,358227.27,5,5,5,15,Champions
CUST02750,Aditya Mhaske,14.0,15,357283.43,5,5,5,15,Champions
CUST01214,Pooja Sharma,9.0,15,357226.95,5,5,5,15,Champions
CUST04916,Isha Verma,3.0,17,356732.21,5,5,5,15,Champions
CUST03735,Ananya Mhaske,16.0,19,353991.01,5,5,5,15,Champions
CUST03027,Kavya Kumar,2.0,20,353244.14,5,5,5,15,Champions
CUST02016,Pooja Singh,9.0,16,353137.47,5,5,5,15,Champions
CUST04983,Meera Verma,8.0,15,351222.23,5,5,5,15,Champions
CUST02781,Aarav Gupta,5.0,18,350075.76,5,5,5,15,Champions
CUST04774,Aarav Verma,9.0,17,349786.29,5,5,5,15,Champions
CUST00806,Aditya Gupta,1.0,21,349282.11,5,5,5,15,Champions
CUST05810,Aditya Mehta,4.0,19,347905.81,5,5,5,15,Champions
CUST05800,Aditya Mhaske,8.0,16,347885.38,5,5,5,15,Champions
CUST00554,Priya Shah,8.0,15,346375.81,5,5,5,15,Champions
CUST01179,Kavya Joshi,11.0,17,344830.33,5,5,5,15,Champions
CUST00197,Aarav Mehta,5.0,17,344709.55,5,5,5,15,Champions
CUST00900,Pooja Kumar,0.0,16,344496.71,5,5,5,15,Champions
CUST03429,Kavya Verma,9.0,18,344350.35,5,5,5,15,Champions
CUST04784,Karan Shah,8.0,20,343465.8,5,5,5,15,Champions
CUST05603,Arjun Gupta,8.0,17,343230.93,5,5,5,15,Champions
CUST05126,Kavya Gupta,6.0,15,343224.54,5,5,5,15,Champions
CUST00153,Vivaan Mhaske,1.0,17,342996.84,5,5,5,15,Champions
CUST03639,Ananya Gupta,8.0,15,342840.38,5,5,5,15,Champions
CUST01175,Karan Shah,12.0,21,341689.63,5,5,5,15,Champions
CUST02489,Priya Sharma,0.0,16,341689.6,5,5,5,15,Champions
CUST04823,Rahul Nair,10.0,16,341030.06,5,5,5,15,Champions
CUST03595,Aarav Mehta,5.0,17,340982.77,5,5,5,15,Champions
CUST00413,Kavya Mhaske,13.0,16,340194.75,5,5,5,15,Champions
CUST04247,Sneha Gupta,7.0,18,339906.91,5,5,5,15,Champions
CUST01059,Vivaan Sharma,5.0,15,339804.98,5,5,5,15,Champions
CUST01607,Ananya Patil,8.0,17,339679.52,5,5,5,15,Champions
CUST00069,Aarav Gupta,10.0,16,339072.74,5,5,5,15,Champions
CUST04326,Meera Patil,6.0,15,338291.96,5,5,5,15,Champions
CUST00195,Meera Deshmukh,16.0,18,337674.81,5,5,5,15,Champions
CUST01381,Rohan Joshi,6.0,21,336967.8,5,5,5,15,Champions
CUST02796,Rahul Gupta,8.0,17,336434.55,5,5,5,15,Champions
CUST05634,Pooja Gupta,7.0,15,336323.67,5,5,5,15,Champions
CUST01460,Neha Gupta,13.0,17,335249.08,5,5,5,15,Champions
CUST03658,Aarav Mehta,1.0,18,334656.29,5,5,5,15,Champions
CUST03857,Arjun Singh,15.0,19,332932.08,5,5,5,15,Champions
CUST00190,Neha Nair,12.0,18,331973.74,5,5,5,15,Champions
CUST04017,Aarav Shah,3.0,16,331499.47,5,5,5,15,Champions
CUST03020,Isha Patil,11.0,16,330295.9,5,5,5,15,Champions
CUST04679,Aditya Sharma,3.0,17,330096.25,5,5,5,15,Champions
CUST03187,Priya Gupta,7.0,18,328541.17,5,5,5,15,Champions
CUST02970,Rohan Patil,3.0,17,328204.11,5,5,5,15,Champions
CUST04292,Kavya Joshi,5.0,20,327530.84,5,5,5,15,Champions
CUST02157,Rahul Nair,11.0,19,327135.94,5,5,5,15,Champions
CUST01036,Neha Verma,2.0,17,326271.12,5,5,5,15,Champions
CUST03374,Aditya Kumar,15.0,22,325771.89,5,5,5,15,Champions
CUST05547,Pooja Nair,15.0,18,325705.08,5,5,5,15,Champions
CUST00816,Priya Patil,4.0,20,325044.17,5,5,5,15,Champions
CUST03172,Aarav Mehta,2.0,19,324300.75,5,5,5,15,Champions
CUST00597,Rahul Gupta,13.0,17,324268.57,5,5,5,15,Champions
CUST03436,Pooja Patil,12.0,18,323109.97,5,5,5,15,Champions
CUST00787,Arjun Mehta,10.0,17,322704.01,5,5,5,15,Champions
CUST02556,Amit Shah,2.0,16,322166.29,5,5,5,15,Champions
CUST05549,Rohan Deshmukh,11.0,18,322143.51,5,5,5,15,Champions
CUST00112,Rohan Singh,10.0,16,321870.98,5,5,5,15,Champions
CUST04646,Aarav Gupta,15.0,18,321585.44,5,5,5,15,Champions
CUST03086,Isha Gupta,14.0,16,321098.87,5,5,5,15,Champions
CUST05806,Kavya Gupta,15.0,20,320676.36,5,5,5,15,Champions
CUST04321,Priya Singh,7.0,20,320602.74,5,5,5,15,Champions
