Customer_ID,Customer_Name,Total_Orders,Units_Sold,Revenue,Profit,Profit_Margin_Percent,Average_Order_Value
CUST03370,Rohan Deshmukh,18,70,682579.18,215680.31,31.6,37921.07
CUST02369,Vivaan Sharma,26,65,656467.23,162061.3,24.69,25248.74
CUST02987,Amit Sharma,25,70,630590.67,114788.84,18.2,25223.63
CUST02176,Aarav Joshi,20,68,629769.19,147672.45,23.45,31488.46
CUST01171,Aarav Gupta,22,65,612137.04,151644.59,24.77,27824.41
CUST03244,Neha Mhaske,19,61,600454.29,155811.64,25.95,31602.86
CUST00947,Meera Deshmukh,21,53,592453.93,141721.69,23.92,28212.09
CUST05687,Amit Kumar,17,50,576083.55,134145.68,23.29,33887.27
CUST00992,Sneha Sharma,23,57,572539.2,141653.78,24.74,24893.01
CUST03036,Pooja Singh,21,58,569817.88,139394.75,24.46,27134.18
CUST03758,Sneha Mehta,21,53,555275.89,146087.08,26.31,26441.71
CUST05424,Aarav Joshi,16,58,544745.38,111299.86,20.43,34046.59
CUST00349,Amit Singh,20,65,543035.24,123959.62,22.83,27151.76
CUST02022,Neha Patil,23,61,541358.75,101352.1,18.72,23537.34
CUST05362,Rahul Singh,19,52,539423.17,140032.67,25.96,28390.69
CUST04253,Meera Joshi,20,60,538140.37,136884.12,25.44,26907.02
CUST01139,Karan Joshi,22,62,534445.22,116100.3,21.72,24292.96
CUST01817,Amit Patil,21,52,529895.41,118662.35,22.39,25233.11
CUST00778,Karan Shah,21,52,527205.51,146329.42,27.76,25105.02
CUST03037,Isha Sharma,17,58,521696.75,159437.07,30.56,30688.04
CUST02672,Ananya Joshi,20,51,518367.26,140944.61,27.19,25918.36
CUST04540,Karan Mehta,18,53,517450.86,125888.18,24.33,28747.27
CUST05658,Amit Singh,18,50,513434.44,134917.03,26.28,28524.14
CUST04433,Ananya Kumar,20,54,512302.35,114366.58,22.32,25615.12
CUST01428,Rahul Singh,17,45,511005.72,138730.4,27.15,30059.16
CUST05922,Karan Nair,20,49,509322.79,158308.11,31.08,25466.14
CUST01161,Isha Mhaske,21,56,503427.57,113380.38,22.52,23972.74
CUST05703,Ananya Deshmukh,16,48,498598.16,128463.23,25.76,31162.39
CUST05073,Aarav Deshmukh,24,67,497373.12,112324.2,22.58,20723.88
CUST03669,Aarav Deshmukh,17,48,497075.29,138784.1,27.92,29239.72
CUST00348,Amit Mehta,18,54,496225.41,132808.56,26.76,27568.08
CUST05110,Kavya Patil,20,57,495388.54,137065.72,27.67,24769.43
CUST04416,Vivaan Verma,21,56,495128.65,130345.69,26.33,23577.55
CUST04105,Sneha Mhaske,23,57,491863.33,114592.14,23.3,21385.36
CUST01244,Vivaan Shah,19,54,491153.79,140740.51,28.66,25850.2
CUST01564,Pooja Joshi,18,58,489934.67,92520.57,18.88,27218.59
CUST02762,Pooja Singh,13,40,488160.62,122025.25,25.0,37550.82
CUST04265,Amit Deshmukh,21,55,487744.58,124118.87,25.45,23225.93
CUST03272,Rohan Joshi,17,45,484448.68,141329.7,29.17,28496.98
CUST04378,Vivaan Mhaske,20,53,483643.45,110067.2,22.76,24182.17
